rank,profile_name,variant_name,variable_values_used,total_trades,win_rate,net_pnl,profit_factor,max_drawdown,average_win,average_loss,expectancy,training_total_trades,training_win_rate,training_net_pnl,validation_total_trades,validation_win_rate,validation_net_pnl,validation_profit_factor,rejected_setup_counts,trade_list,overfitting_risk
1,STRICT_PROFILE,STRICT_PROFILE_exp_1_3_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 3.0, ""expansion_ratio_min"": 1.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
2,STRICT_PROFILE,STRICT_PROFILE_exp_1_3.5_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 3.5, ""expansion_ratio_min"": 1.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
3,STRICT_PROFILE,STRICT_PROFILE_exp_1_4_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 4.0, ""expansion_ratio_min"": 1.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
4,STRICT_PROFILE,STRICT_PROFILE_exp_1.5_3_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 3.0, ""expansion_ratio_min"": 1.5, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
5,STRICT_PROFILE,STRICT_PROFILE_exp_1.5_3.5_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 3.5, ""expansion_ratio_min"": 1.5, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
6,STRICT_PROFILE,STRICT_PROFILE_exp_1.5_4_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 4.0, ""expansion_ratio_min"": 1.5, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
7,STRICT_PROFILE,STRICT_PROFILE_exp_2_3_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 3.0, ""expansion_ratio_min"": 2.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
8,STRICT_PROFILE,STRICT_PROFILE_exp_2_3.5_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 3.5, ""expansion_ratio_min"": 2.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
9,STRICT_PROFILE,STRICT_PROFILE_exp_2_4_retrace_3,"{""direct_12m_retrace_entry_enabled"": false, ""expansion_ratio_max"": 4.0, ""expansion_ratio_min"": 2.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
10,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_1_3_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 3.0, ""expansion_ratio_min"": 1.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
11,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_1_3.5_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 3.5, ""expansion_ratio_min"": 1.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
12,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_1_4_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 4.0, ""expansion_ratio_min"": 1.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
13,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_1.5_3_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 3.0, ""expansion_ratio_min"": 1.5, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
14,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_1.5_3.5_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 3.5, ""expansion_ratio_min"": 1.5, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
15,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_1.5_4_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 4.0, ""expansion_ratio_min"": 1.5, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
16,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_2_3_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 3.0, ""expansion_ratio_min"": 2.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
17,PROFILE_F_VOLUME,PROFILE_F_VOLUME_exp_2_3.5_retrace_3,"{""direct_12m_retrace_entry_enabled"": true, ""expansion_ratio_max"": 3.5, ""expansion_ratio_min"": 2.0, ""fvg_delay_16m_candles"": 0, ""one_trade_per_12m_fvg"": true, ""retrace_window_8m_candles"": 3, ""selected_rr_profile"": ""RR_1_5"", ""selected_rr_value"": ""1.5""}",0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,"{""rejected_1m_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg"": 0, ""rejected_close_above_12m_fvg_before_entry"": 0, ""rejected_entry_window_expired"": 0, ""rejected_no_12m_fvg_inside_leg"": 0, ""rejected_no_1m_bearish_expansion"": 0, ""rejected_no_1m_bearish_fvg"": 0, ""rejected_no_8m_fvg_inside_leg"": 0, ""rejected_no_expansion"": 0, ""rejected_no_first_1m_swing_high"": 0, ""rejected_no_immediate_16m_fvg"": 0, ""rejected_no_return_to_first_1m_fvg"": 0, ""rejected_no_return_to_second_1m_fvg"": 0, ""rejected_no_second_1m_swing_high"": 0, ""rejected_retrace_window_expired"": 0, ""rejected_target_reached_before_entry"": 0, ""rejected_third_1m_high"": 0, ""rejected_third_high"": 0}",[],MEDIUM
