profile,timeframe_set,expansion_min,expansion_max,expansion,retrace,retracement_window,tp_model,entry_model,total_trades,valid_trades,tp_invalid_count,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown,expectancy,average_win,average_loss,average_effective_rr,median_effective_rr,min_effective_rr,max_effective_rr,longest_losing_streak,training_trades,training_win_rate,training_net_pnl,training_profit_factor,training_max_drawdown,validation_trades,validation_win_rate,validation_net_pnl,validation_profit_factor,validation_max_drawdown,rank
PROFILE_F_VOLUME,16M/12M/8M/1M,1.0,4.0,1-4,3x8M,3,RR_1_0,Direct 12M retrace,37,37,0,37,19,17,52.77777777777778,200.0000000000000000000000000,1900.000000000000000000000000,-1700.000000000000000000000000,1.117647058823529411764705882,500.00000000000000000000000,5.555555555555555555555555556,100.000000000000000000000000,-100.000000000000000000000000,1,1,1,1,4,25,52.0,100.0000000000000000000000000,1.083333333333333333333333333,400.00000000000000000000000,12,54.54545454545454,100.0000000000000000000000000,1.2,200.00000000000000000000000,1
PROFILE_F_VOLUME,16M/12M/8M/1M,1.0,4.0,1-4,3x8M,3,8M_PRE_RETRACE_EXTREME,Direct 12M retrace,37,25,12,25,16,9,64.0,-70.88653803649328993455717614,829.1134619635067100654428239,-900.0000000000000000000000000,0.9212371799594519000727142488,440.842040854063231715501799,-2.835461521459731597382287046,51.81959137271916937909017649,-100.0000000000000000000000000,0.5581198070767263838005811292,0.3934426229508196721311475410,0.07936507936507936507936507937,2.75,3,18,72.22222222222221,260.6281214813378943430391538,1.521256242962675788686078308,215.130759651307596513075969,7,42.857142857142854,-331.5146595178311842775963299,0.1712133512054220393060091752,376.086956521739130434782609,2
PROFILE_F_VOLUME,16M/12M/8M/1M,1.0,4.0,1-4,3x8M,3,RR_1_5_CURRENT,Direct 12M retrace,37,37,0,37,16,20,44.44444444444444,400.0000000000000000000000000,2400.000000000000000000000000,-2000.000000000000000000000000,1.2,550.00000000000000000000000,11.11111111111111111111111111,150.000000000000000000000000,-100.000000000000000000000000,1.5,1.5,1.5,1.5,4,25,48.0,500.0000000000000000000000000,1.384615384615384615384615385,400.00000000000000000000000,12,36.36363636363637,-99.99999999999999999999999999,0.8571428571428571428571428571,400.000000000000000000000000,3
PROFILE_F_VOLUME,16M/12M/8M/1M,1.0,4.0,1-4,3x8M,3,16M_FVG_BOUNDARY,Direct 12M retrace,37,9,28,9,8,1,88.88888888888889,159.7030531496550914026642182,259.7030531496550914026642182,-100.0000000000000000000000000,2.597030531496550914026642182,100.00000000000000000000000,17.7447836832950101558515798,32.46288164370688642533302728,-100.0000000000000000000000000,0.302447836832950101558515798,0.08888888888888888888888888889,0.02380952380952380952380952381,1.25,1,5,100.0,144.7380181846201263676991832,INF,0,4,75.0,14.96503496503496503496503496,1.14965034965034965034965035,100.000000000000000000000000,4
PROFILE_F_SELECTIVE,16M/12M/8M/1M,2.0,4.0,2-4,3x8M,3,RR_1_5_CURRENT,Direct 12M retrace,10,10,0,10,5,5,50.0,250.0000000000000000000000000,750.0000000000000000000000000,-500.0000000000000000000000000,1.5,250.00000000000000000000000,25.0000000000000000000000000,150.0000000000000000000000000,-100.0000000000000000000000000,1.5,1.5,1.5,1.5,2,7,42.857142857142854,50.0000000000000000000000000,1.125,250.00000000000000000000000,3,66.66666666666666,200.0000000000000000000000000,3,100.00000000000000000000000,5
PROFILE_F_SELECTIVE,16M/12M/8M/1M,2.0,4.0,2-4,3x8M,3,RR_1_0,Direct 12M retrace,10,10,0,10,5,5,50.0,0E-26,500.0000000000000000000000000,-500.0000000000000000000000000,1,300.000000000000000000000000,0E-26,100.0000000000000000000000000,-100.0000000000000000000000000,1,1,1,1,2,7,42.857142857142854,-99.99999999999999999999999999,0.75,300.000000000000000000000000,3,66.66666666666666,99.99999999999999999999999999,2,100.00000000000000000000000,6
PROFILE_F_BALANCED,16M/12M/8M/1M,1.5,4.0,1.5-4,3x8M,3,RR_1_5_CURRENT,Direct 12M retrace,17,17,0,17,8,9,47.05882352941176,300.0000000000000000000000000,1200.000000000000000000000000,-900.0000000000000000000000000,1.333333333333333333333333333,350.00000000000000000000000,17.64705882352941176470588235,150.000000000000000000000000,-100.0000000000000000000000000,1.5,1.5,1.5,1.5,3,12,50.0,300.0000000000000000000000000,1.5,350.00000000000000000000000,5,40.0,1E-26,1,200.00000000000000000000000,7
PROFILE_F_BALANCED,16M/12M/8M/1M,1.5,4.0,1.5-4,3x8M,3,16M_FVG_BOUNDARY,Direct 12M retrace,17,6,11,6,5,1,83.33333333333334,-47.67789923129728954971673419,52.32210076870271045028326581,-100.0000000000000000000000000,0.5232210076870271045028326581,100.000000000000000000000000,-7.946316538549548258286122365,10.46442015374054209005665316,-100.0000000000000000000000000,0.1080368346145045174171387764,0.0829059829059829059829059829,0.02912621359223300970873786408,0.2727272727272727272727272727,1,3,100.0,17.35706580366774541531823085,INF,0,3,66.66666666666666,-65.03496503496503496503496504,0.3496503496503496503496503496,100.000000000000000000000000,8
PROFILE_F_SELECTIVE,16M/12M/8M/1M,2.0,4.0,2-4,3x8M,3,8M_PRE_RETRACE_EXTREME,Direct 12M retrace,10,6,4,6,5,1,83.33333333333334,11.76804422582886207989142754,111.7680442258288620798914275,-100.0000000000000000000000000,1.117680442258288620798914275,100.000000000000000000000000,1.961340704304810346648571257,22.3536088451657724159782855,-100.0000000000000000000000000,0.2963991213287623891807714268,0.2263613338961587167581257914,0.12,0.6607142857142857142857142857,1,4,100.0,87.85500074756799251467403624,INF,0,2,50.0,-76.08695652173913043478260870,0.239130434782608695652173913,100.000000000000000000000000,9
PROFILE_F_SELECTIVE,16M/12M/8M/1M,2.0,4.0,2-4,3x8M,3,16M_FVG_BOUNDARY,Direct 12M retrace,10,4,6,4,3,1,75.0,-83.83951539291345116587835034,16.16048460708654883412164966,-100.0000000000000000000000000,0.1616048460708654883412164966,100.000000000000000000000000,-20.95987884822836279146958758,5.386828202362182944707216553,-100.0000000000000000000000000,0.07165121151771637208530412415,0.06623931623931623931623931625,0.02912621359223300970873786408,0.125,1,2,100.0,8.468176914778856526429341964,INF,0,2,50.0,-92.30769230769230769230769231,0.07692307692307692307692307692,100.000000000000000000000000,10
PROFILE_F_BALANCED,16M/12M/8M/1M,1.5,4.0,1.5-4,3x8M,3,RR_1_0,Direct 12M retrace,17,17,0,17,9,8,52.94117647058824,100.0000000000000000000000000,900.0000000000000000000000000,-800.0000000000000000000000000,1.125,300.00000000000000000000000,5.882352941176470588235294118,100.0000000000000000000000000,-100.0000000000000000000000000,1,1,1,1,2,12,58.333333333333336,200.0000000000000000000000000,1.4,200.00000000000000000000000,5,40.0,-100.0000000000000000000000000,0.6666666666666666666666666667,200.000000000000000000000000,11
PROFILE_F_BALANCED,16M/12M/8M/1M,1.5,4.0,1.5-4,3x8M,3,8M_PRE_RETRACE_EXTREME,Direct 12M retrace,17,12,5,12,9,3,75.0,6.1264266409995058715355195,306.1264266409995058715355195,-300.0000000000000000000000000,1.020421422136665019571785065,176.08695652173913043478261,0.510535553416625489294626625,34.0140474045555006523928355,-100.0000000000000000000000000,0.4190874382662489869756783489,0.4411657559198542805100182150,0.07936507936507936507936507937,0.8181818181818181818181818182,1,9,88.88888888888889,182.2133831627386363063181282,2.822133831627386363063181282,100.00000000000000000000000,3,33.33333333333333,-176.0869565217391304347826087,0.1195652173913043478260869565,176.086956521739130434782609,12
